,Slope ($\mu$m/y),Sample
0,0.12557463,true scores
1,-0.30489469,true scores
2,-1.487026,true scores
3,-1.4626814,true scores
4,-1.2733978,true scores
5,-0.76557106,true scores
6,-0.053008091,true scores
7,-0.85491544,true scores
8,-0.30522937,true scores
9,0.2799885,true scores
10,0.077291511,true scores
11,-0.048274633,true scores
12,-1.4117136,true scores
13,-1.1518856,true scores
14,-0.39968917,true scores
15,-0.75645608,true scores
16,-0.6578784,true scores
17,0.24510466,true scores
18,-0.69751519,true scores
19,-0.12902015,true scores
20,-0.70525879,true scores
21,-1.0576025,true scores
22,-0.18424201,true scores
23,-1.5209671,true scores
24,-0.089567117,true scores
25,-0.64110452,true scores
26,0.047114078,true scores
27,0.092423521,true scores
28,-0.43646738,true scores
29,-0.92847598,true scores
30,-0.50657225,true scores
31,-0.062029306,true scores
32,-0.69169074,true scores
33,-0.82607377,true scores
34,-0.55312324,true scores
35,-0.31080335,true scores
36,-0.43429825,true scores
37,-0.57373333,true scores
38,-1.2724422,true scores
39,-0.68393064,true scores
40,-0.79117322,true scores
41,-0.70525879,true scores
42,-0.56754839,true scores
43,-0.43128738,true scores
44,0.25043201,true scores
45,-0.27540436,true scores
46,-0.68158984,true scores
47,-0.52683634,true scores
48,-0.75645608,true scores
49,-0.32868183,true scores
50,-1.1785494,true scores
51,-1.1881137,true scores
52,0.1946107,true scores
53,-0.30346012,true scores
54,-1.4055276,true scores
55,-0.16688868,true scores
56,-0.41520619,true scores
57,-1.504014,true scores
58,-0.64697081,true scores
59,-0.5971337,true scores
60,0.064430237,true scores
61,-0.40967211,true scores
62,-0.33688778,true scores
63,0.19708054,true scores
64,-0.65459418,true scores
65,-0.43971613,true scores
66,-1.9168533,true scores
67,0.032554049,true scores
68,-0.88878745,true scores
69,-0.83387303,true scores
70,-1.2245953,true scores
71,-0.8545723,true scores
72,-1.4876648,true scores
73,-0.7519992,true scores
74,-0.75594014,true scores
75,-2.0195735,true scores
76,-0.30985159,true scores
77,-0.50453836,true scores
78,-0.61447603,true scores
79,-1.1199528,true scores
80,-0.58890784,true scores
81,-1.3811777,true scores
82,-0.12206852,true scores
83,-0.85740489,true scores
84,-0.74184257,true scores
85,0.42335847,true scores
86,-0.16165835,true scores
87,-0.16207007,true scores
88,-0.6707719,true scores
89,-0.80940676,true scores
90,0.82924688,true scores
91,-1.4810238,true scores
92,-1.2733978,true scores
93,-0.71240324,true scores
94,-0.77609289,true scores
95,-0.71298504,true scores
96,-1.3228891,true scores
97,-0.36947432,true scores
98,0.15961106,true scores
99,-0.87408382,true scores
100,0.16660824,true scores
101,0.13009889,true scores
102,-0.7672174,true scores
103,-0.33910418,true scores
104,-0.63202411,true scores
105,-0.73511493,true scores
106,-0.67211562,true scores
107,-0.85740489,true scores
108,-0.061569747,true scores
109,-0.91697586,true scores
110,-1.2464845,true scores
111,-0.14437088,true scores
112,-0.40315047,true scores
113,-0.20652764,true scores
114,-0.48819768,true scores
115,-1.3143013,true scores
116,-0.61739624,true scores
117,-0.340684,true scores
118,-1.1683677,true scores
119,-0.66214722,true scores
120,-0.5663749,true scores
121,-0.084845163,true scores
122,-0.60011488,true scores
123,-1.2551355,true scores
124,-0.56202376,true scores
125,0.25069302,true scores
126,-0.43268487,true scores
127,-0.74160194,true scores
128,-0.59783411,true scores
129,-0.65896648,true scores
130,-0.9694261,true scores
131,-0.10014641,true scores
132,-1.4581804,true scores
133,-0.38561413,true scores
134,-1.2540851,true scores
135,-0.4393453,true scores
136,-0.24484253,true scores
137,1.1461289,true scores
138,-1.6481367,true scores
139,-0.55651259,true scores
140,-1.1283118,true scores
