,ep,test
0,1,19.406772762537003
1,2,19.503996402025223
2,3,19.353913962841034
3,6,19.382930546998978
4,8,18.571206659078598
5,10,18.38365089893341
6,12,18.09174343943596
7,46,17.56923821568489
8,48,16.892375752329826
9,50,17.27109070122242
10,54,16.007095351815224
11,55,16.28210484981537
12,56,15.674887865781784
13,58,16.077763482928276
14,62,14.233785584568977
15,65,14.408939316868782
16,69,14.068323284387589
17,70,13.42235478758812
18,72,13.439722046256065
19,76,12.676153033971786
20,78,12.687399744987488
21,80,12.369511358439922
22,83,12.328903302550316
23,84,12.367791220545769
24,87,12.021762520074844
25,90,12.193748608231544
26,94,11.894649863243103
27,99,11.894759491086006
28,100,11.933045536279678
29,101,11.763869613409042
30,102,11.80423903465271
31,105,11.677779853343964
32,116,11.709421157836914
33,117,11.598250776529312
34,120,11.566076964139938
35,135,11.526510313153267
36,148,11.586230151355267
